mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36.70529589653015,0.7173527305793763,0.4024400234222412,0.013630312664004475,29,sqrt,104,"OrderedDict([('max_depth', 29), ('max_features', 'sqrt'), ('n_estimators', 104)])",0.7252387448840382,0.8545702592087312,0.86193724420191,0.8433833560709414,0.8133697135061392,0.8196998635743519,0.050047622071229314,2
39.25273399353027,0.6134335034807145,0.43951754570007323,0.01872675268186514,27,sqrt,113,"OrderedDict([('max_depth', 27), ('max_features', 'sqrt'), ('n_estimators', 113)])",0.7107776261937244,0.8564802182810368,0.8652114597544338,0.8414733969986358,0.8144611186903138,0.8176807639836289,0.05615923978324906,6
6.239078235626221,0.08307125462825383,0.43573803901672364,0.01737023373878749,19,log2,116,"OrderedDict([('max_depth', 19), ('max_features', 'log2'), ('n_estimators', 116)])",0.7473396998635744,0.7664392905866303,0.7538881309686221,0.7290586630286494,0.702319236016371,0.7398090040927695,0.022294205052169634,18
8.237675189971924,0.07466558295951671,0.5098797798156738,0.022207345509911738,21,log2,134,"OrderedDict([('max_depth', 21), ('max_features', 'log2'), ('n_estimators', 134)])",0.7593451568894952,0.7762619372442019,0.7604365620736698,0.7358799454297408,0.7110504774897681,0.7485948158253752,0.022770646301957787,15
8.93347783088684,0.11383511074937591,0.6278324604034424,0.026515164783791047,19,log2,167,"OrderedDict([('max_depth', 19), ('max_features', 'log2'), ('n_estimators', 167)])",0.7710777626193724,0.7784447476125511,0.7481582537517053,0.7263301500682128,0.703956343792633,0.745593451568895,0.027712666780303225,17
12.918890953063965,0.11970724928089743,0.6154028892517089,0.025011478389943758,28,log2,154,"OrderedDict([('max_depth', 28), ('max_features', 'log2'), ('n_estimators', 154)])",0.7497953615279672,0.7950886766712142,0.7822646657571624,0.7538881309686221,0.7268758526603001,0.7615825375170532,0.024302704266128582,13
7.934945344924927,0.07579488910510909,0.3994438648223877,0.02098769494474296,26,log2,101,"OrderedDict([('max_depth', 26), ('max_features', 'log2'), ('n_estimators', 101)])",0.7446111869031378,0.790450204638472,0.7757162346521146,0.7536152796725785,0.7246930422919509,0.7578171896316507,0.023128135132049903,14
31.357796335220335,0.5337465755067073,0.5349502086639404,0.026343309039206585,14,sqrt,147,"OrderedDict([('max_depth', 14), ('max_features', 'sqrt'), ('n_estimators', 147)])",0.7377899045020464,0.8447476125511596,0.8463847203274215,0.8242837653478854,0.7980900409276944,0.8102592087312415,0.040227054266797735,10
8.565473461151123,0.08631185890281655,0.5586006164550781,0.024673586106865094,20,log2,149,"OrderedDict([('max_depth', 20), ('max_features', 'log2'), ('n_estimators', 149)])",0.7648021828103684,0.7757162346521146,0.7560709413369714,0.7334242837653479,0.7064120054570259,0.7472851296043656,0.024718821573836102,16
2.980236053466797,0.4530348317660052,0.3864765644073486,0.05702164175785384,12,log2,101,"OrderedDict([('max_depth', 12), ('max_features', 'log2'), ('n_estimators', 101)])",0.7713506139154162,0.704774897680764,0.6742155525238744,0.6769440654843111,0.6545702592087312,0.6963710777626193,0.040763070461746244,19
89.45311675071716,0.3027204656414195,0.9558385848999024,0.03246814235911737,30,sqrt,250,"OrderedDict([('max_depth', 30), ('max_features', 'sqrt'), ('n_estimators', 250)])",0.7107776261937244,0.8548431105047749,0.8616643929058663,0.8450204638472033,0.8201909959072305,0.8184993178717599,0.055667388625757964,4
30.451196146011352,0.5124198022584323,0.8605516910552978,0.03765708259428099,10,sqrt,250,"OrderedDict([('max_depth', 10), ('max_features', 'sqrt'), ('n_estimators', 250)])",0.7577080491132333,0.8180081855388813,0.8130968622100955,0.7852660300136426,0.7587994542974079,0.7865757162346522,0.025682482437058278,11
77.64841990470886,1.6858156533661388,0.9371108531951904,0.03980222944667797,20,sqrt,250,"OrderedDict([('max_depth', 20), ('max_features', 'sqrt'), ('n_estimators', 250)])",0.7156889495225103,0.8553888130968622,0.8600272851296044,0.8409276944065485,0.8117326057298773,0.8167530695770806,0.05327091573138919,8
29.765971660614014,0.37817792082215396,0.3720694541931152,0.016549123691379185,19,sqrt,100,"OrderedDict([('max_depth', 19), ('max_features', 'sqrt'), ('n_estimators', 100)])",0.7304229195088676,0.8493860845839017,0.8545702592087312,0.8371077762619372,0.8128240109140519,0.8168622100954979,0.045557963823709406,7
35.55945734977722,0.45871969001914736,0.3787874221801758,0.014452439228265272,30,sqrt,100,"OrderedDict([('max_depth', 30), ('max_features', 'sqrt'), ('n_estimators', 100)])",0.720600272851296,0.8512960436562074,0.8687585266030013,0.8439290586630287,0.8141882673942701,0.8197544338335607,0.05261789922247429,1
67.14367108345031,0.4994498013804571,0.9275565147399902,0.03416519126186433,17,sqrt,250,"OrderedDict([('max_depth', 17), ('max_features', 'sqrt'), ('n_estimators', 250)])",0.7159618008185539,0.849931787175989,0.8529331514324693,0.8354706684856753,0.8068212824010914,0.8122237380627558,0.050823459481037295,9
86.38555517196656,1.8135856585500483,0.9582373619079589,0.038159905832683215,26,sqrt,250,"OrderedDict([('max_depth', 26), ('max_features', 'sqrt'), ('n_estimators', 250)])",0.7178717598908595,0.8553888130968622,0.8654843110504775,0.8425648021828104,0.8139154160982265,0.8190450204638472,0.053465878092791526,3
12.28685483932495,0.12599748176344439,0.3513845920562744,0.014948053955374295,10,sqrt,101,"OrderedDict([('max_depth', 10), ('max_features', 'sqrt'), ('n_estimators', 101)])",0.7495225102319236,0.8144611186903138,0.8111869031377898,0.782537517053206,0.7560709413369714,0.7827557980900408,0.02694489093318283,12
33.39419803619385,0.5979178655335714,0.37768144607543946,0.017125520811778497,23,sqrt,100,"OrderedDict([('max_depth', 23), ('max_features', 'sqrt'), ('n_estimators', 100)])",0.7216916780354706,0.8493860845839017,0.8622100954979536,0.8417462482946794,0.8163710777626194,0.8182810368349249,0.050558984397008074,5
