mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
499.4909216403961,5.899620535266415,0.6185065746307373,0.009708098413759716,0.3769491984743384,0.013461648959993426,5,"OrderedDict([('colsample_bytree', 0.3769491984743384), ('learning_rate', 0.013461648959993426), ('max_depth', 5)])",0.9085698689956332,0.9069323144104804,0.9123908296943232,0.8981986899563319,0.8998088998088998,0.9051801205731337,0.005369269775253126,10
349.39464983940127,2.1095581707653697,0.5918662548065186,0.005461949483879335,0.2797469191311,0.105177464962753,5,"OrderedDict([('colsample_bytree', 0.2797469191311), ('learning_rate', 0.105177464962753), ('max_depth', 5)])",0.9203056768558951,0.9233078602620087,0.9339519650655022,0.9091157205240175,0.9194649194649195,0.9212292284344686,0.007961049493778885,2
796.937904214859,3.373613067862015,0.9235763072967529,0.00854589494445025,0.31753226505717463,0.023418955307097155,8,"OrderedDict([('colsample_bytree', 0.31753226505717463), ('learning_rate', 0.023418955307097155), ('max_depth', 8)])",0.9118449781659389,0.9110262008733624,0.9227620087336245,0.9020196506550219,0.9082719082719083,0.9111849493399712,0.006737620523292909,7
163.62865028381347,2.058732758268499,0.4256103992462158,0.0029627883599559605,0.12981253962981426,0.04951444308285973,3,"OrderedDict([('colsample_bytree', 0.12981253962981426), ('learning_rate', 0.04951444308285973), ('max_depth', 3)])",0.9093886462882096,0.910207423580786,0.9153930131004366,0.902292576419214,0.9033579033579033,0.90812791254931,0.0048062383866329045,9
690.705128955841,8.151518831164688,0.7041720390319824,0.00478408241959443,0.49260371728848595,0.09806749465759307,8,"OrderedDict([('colsample_bytree', 0.49260371728848595), ('learning_rate', 0.09806749465759307), ('max_depth', 8)])",0.9205786026200873,0.9243995633187773,0.9287663755458515,0.9148471615720524,0.9159159159159159,0.9209015237945369,0.005209760829608736,3
839.8962651729584,5.463571899662606,0.9252577304840088,0.011102183429868673,0.364002777109391,0.018396133416554966,8,"OrderedDict([('colsample_bytree', 0.364002777109391), ('learning_rate', 0.018396133416554966), ('max_depth', 8)])",0.9132096069868996,0.9096615720524017,0.9203056768558951,0.9006550218340611,0.904995904995905,0.9097655565450327,0.006763399308161556,8
203.41284914016722,1.4274490348525481,0.5356857776641846,0.0028055762661764174,0.1177453413931629,0.13133590849802107,4,"OrderedDict([('colsample_bytree', 0.1177453413931629), ('learning_rate', 0.13133590849802107), ('max_depth', 4)])",0.9211244541484717,0.9208515283842795,0.9243995633187773,0.9126637554585153,0.9221949221949222,0.9202468447009933,0.003991970966812337,4
505.21362075805666,7.88792053852957,0.5799935817718506,0.005918966479399365,0.47375833514433197,0.06306060419472526,5,"OrderedDict([('colsample_bytree', 0.47375833514433197), ('learning_rate', 0.06306060419472526), ('max_depth', 5)])",0.917849344978166,0.917849344978166,0.9268558951965066,0.9080240174672489,0.9134589134589135,0.9168075032158001,0.006188759571488827,6
178.27257347106934,0.4153938026459491,0.4512890338897705,0.0023719477014971443,0.17322136858349135,0.2872139485526703,4,"OrderedDict([('colsample_bytree', 0.17322136858349135), ('learning_rate', 0.2872139485526703), ('max_depth', 4)])",0.9189410480349345,0.9216703056768559,0.9260371179039302,0.9072052401746725,0.9145509145509145,0.9176809252682615,0.00643219971808583,5
310.06510763168336,1.6583254975464083,0.5358798027038574,0.004314441441078296,0.3243971814938379,0.17281917047417422,5,"OrderedDict([('colsample_bytree', 0.3243971814938379), ('learning_rate', 0.17281917047417422), ('max_depth', 5)])",0.92985807860262,0.9290393013100436,0.9293122270742358,0.9115720524017468,0.92001092001092,0.9239585158799134,0.0071873421387775305,1
